index,build,test_index,RW,IODEPTH,SIZE,ENGINE,y_BANDWIDTH,run_index
0,Local,0,read,1,4,spdk_bdev,2000.0,0
1,Local,0,read,1,4,spdk_bdev,2000.0,1
2,Local,0,read,1,4,spdk_bdev,2000.0,2
3,Local,0,read,1,4,spdk_bdev,2000.0,3
4,Local,0,read,1,4,spdk_bdev,2000.0,4
5,Local,0,read,1,4,spdk_bdev,2000.0,5
6,Local,0,read,1,4,spdk_bdev,2000.0,6
7,Local,0,read,1,4,spdk_bdev,2000.0,7
8,Local,0,read,1,4,spdk_bdev,2000.0,8
9,Local,0,read,1,4,spdk_bdev,2000.0,9
10,Local,1,write,1,4,spdk_bdev,285.71,0
11,Local,1,write,1,4,spdk_bdev,285.71,1
12,Local,1,write,1,4,spdk_bdev,285.71,2
13,Local,1,write,1,4,spdk_bdev,285.71,3
14,Local,1,write,1,4,spdk_bdev,285.71,4
15,Local,1,write,1,4,spdk_bdev,285.71,5
16,Local,1,write,1,4,spdk_bdev,285.71,6
17,Local,1,write,1,4,spdk_bdev,285.71,7
18,Local,1,write,1,4,spdk_bdev,285.71,8
19,Local,1,write,1,4,spdk_bdev,285.71,9
20,Local,2,randread,1,4,spdk_bdev,2000.0,0
21,Local,2,randread,1,4,spdk_bdev,2000.0,1
22,Local,2,randread,1,4,spdk_bdev,2000.0,2
23,Local,2,randread,1,4,spdk_bdev,2000.0,3
24,Local,2,randread,1,4,spdk_bdev,2000.0,4
25,Local,2,randread,1,4,spdk_bdev,2000.0,5
26,Local,2,randread,1,4,spdk_bdev,2000.0,6
27,Local,2,randread,1,4,spdk_bdev,2000.0,7
28,Local,2,randread,1,4,spdk_bdev,2000.0,8
29,Local,2,randread,1,4,spdk_bdev,2000.0,9
30,Local,3,randwrite,1,4,spdk_bdev,285.71,0
31,Local,3,randwrite,1,4,spdk_bdev,285.71,1
32,Local,3,randwrite,1,4,spdk_bdev,285.71,2
33,Local,3,randwrite,1,4,spdk_bdev,285.71,3
34,Local,3,randwrite,1,4,spdk_bdev,285.71,4
35,Local,3,randwrite,1,4,spdk_bdev,285.71,5
36,Local,3,randwrite,1,4,spdk_bdev,285.71,6
37,Local,3,randwrite,1,4,spdk_bdev,285.71,7
38,Local,3,randwrite,1,4,spdk_bdev,285.71,8
39,Local,3,randwrite,1,4,spdk_bdev,285.71,9
40,Local,4,read,16,4,spdk_bdev,2000.0,0
41,Local,4,read,16,4,spdk_bdev,2000.0,1
42,Local,4,read,16,4,spdk_bdev,2000.0,2
43,Local,4,read,16,4,spdk_bdev,2000.0,3
44,Local,4,read,16,4,spdk_bdev,2000.0,4
45,Local,4,read,16,4,spdk_bdev,2000.0,5
46,Local,4,read,16,4,spdk_bdev,2000.0,6
47,Local,4,read,16,4,spdk_bdev,2000.0,7
48,Local,4,read,16,4,spdk_bdev,2000.0,8
49,Local,4,read,16,4,spdk_bdev,2000.0,9
50,Local,5,write,16,4,spdk_bdev,285.71,0
51,Local,5,write,16,4,spdk_bdev,285.71,1
52,Local,5,write,16,4,spdk_bdev,285.71,2
53,Local,5,write,16,4,spdk_bdev,285.71,3
54,Local,5,write,16,4,spdk_bdev,285.71,4
55,Local,5,write,16,4,spdk_bdev,285.71,5
56,Local,5,write,16,4,spdk_bdev,285.71,6
57,Local,5,write,16,4,spdk_bdev,285.71,7
58,Local,5,write,16,4,spdk_bdev,285.71,8
59,Local,5,write,16,4,spdk_bdev,285.71,9
60,Local,6,randread,16,4,spdk_bdev,2000.0,0
61,Local,6,randread,16,4,spdk_bdev,2000.0,1
62,Local,6,randread,16,4,spdk_bdev,2000.0,2
63,Local,6,randread,16,4,spdk_bdev,2000.0,3
64,Local,6,randread,16,4,spdk_bdev,2000.0,4
65,Local,6,randread,16,4,spdk_bdev,2000.0,5
66,Local,6,randread,16,4,spdk_bdev,2000.0,6
67,Local,6,randread,16,4,spdk_bdev,2000.0,7
