index,build,test_index,IODEPTH,SIZE,ENGINE,y_BANDWIDTH,run_index
122,Local,12,1,4,libaio,90.9,2
123,Local,12,1,4,libaio,88.88,3
124,Local,12,1,4,libaio,93.02,4
125,Local,12,1,4,libaio,93.02,5
126,Local,12,1,4,libaio,90.9,6
127,Local,12,1,4,libaio,90.9,7
128,Local,12,1,4,libaio,88.88,8
129,Local,12,1,4,libaio,93.02,9
130,Local,13,16,4,libaio,666.66,0
131,Local,13,16,4,libaio,571.42,1
132,Local,13,16,4,libaio,666.66,2
133,Local,13,16,4,libaio,666.66,3
134,Local,13,16,4,libaio,571.42,4
135,Local,13,16,4,libaio,666.66,5
136,Local,13,16,4,libaio,666.66,6
137,Local,13,16,4,libaio,571.42,7
138,Local,13,16,4,libaio,666.66,8
139,Local,13,16,4,libaio,666.66,9
140,Local,14,32,4,libaio,571.42,0
141,Local,14,32,4,libaio,666.66,1
142,Local,14,32,4,libaio,666.66,2
143,Local,14,32,4,libaio,571.42,3
144,Local,14,32,4,libaio,666.66,4
145,Local,14,32,4,libaio,666.66,5
146,Local,14,32,4,libaio,571.42,6
147,Local,14,32,4,libaio,666.66,7
148,Local,14,32,4,libaio,666.66,8
149,Local,14,32,4,libaio,571.42,9
150,Local,15,1,10,libaio,92.59,0
151,Local,15,1,10,libaio,91.74,1
152,Local,15,1,10,libaio,93.45,2
153,Local,15,1,10,libaio,90.9,3
154,Local,15,1,10,libaio,93.45,4
155,Local,15,1,10,libaio,92.59,5
156,Local,15,1,10,libaio,92.59,6
157,Local,15,1,10,libaio,90.9,7
158,Local,15,1,10,libaio,92.59,8
159,Local,15,1,10,libaio,91.74,9
160,Local,16,16,10,libaio,909.09,0
161,Local,16,16,10,libaio,833.33,1
162,Local,16,16,10,libaio,909.09,2
163,Local,16,16,10,libaio,909.09,3
164,Local,16,16,10,libaio,833.33,4
165,Local,16,16,10,libaio,909.09,5
166,Local,16,16,10,libaio,909.09,6
167,Local,16,16,10,libaio,833.33,7
168,Local,16,16,10,libaio,909.09,8
169,Local,16,16,10,libaio,909.09,9
170,Local,17,32,10,libaio,909.09,0
171,Local,17,32,10,libaio,1000.0,1
172,Local,17,32,10,libaio,1000.0,2
173,Local,17,32,10,libaio,833.33,3
174,Local,17,32,10,libaio,1000.0,4
175,Local,17,32,10,libaio,1000.0,5
176,Local,17,32,10,libaio,909.09,6
177,Local,17,32,10,libaio,1000.0,7
178,Local,17,32,10,libaio,1000.0,8
179,Local,17,32,10,libaio,833.33,9
180,Local,18,1,100,libaio,94.6,0
181,Local,18,1,100,libaio,94.78,1
182,Local,18,1,100,libaio,94.51,2
183,Local,18,1,100,libaio,93.63,3
184,Local,18,1,100,libaio,94.51,4
185,Local,18,1,100,libaio,93.89,5
186,Local,18,1,100,libaio,94.07,6
187,Local,18,1,100,libaio,93.89,7
188,Local,18,1,100,libaio,94.69,8
189,Local,18,1,100,libaio,94.6,9
190,Local,19,16,100,libaio,1298.7,0
191,Local,19,16,100,libaio,1282.05,1
192,Local,19,16,100,libaio,1298.7,2
193,Local,19,16,100,libaio,1298.7,3
194,Local,19,16,100,libaio,1282.05,4
195,Local,19,16,100,libaio,1282.05,5
196,Local,19,16,100,libaio,1298.7,6
197,Local,19,16,100,libaio,1282.05,7
198,Local,19,16,100,libaio,1298.7,8
199,Local,19,16,100,libaio,1282.05,9
200,Local,20,32,100,libaio,1960.78,0
201,Local,20,32,100,libaio,1960.78,1
202,Local,20,32,100,libaio,1923.07,2
203,Local,20,32,100,libaio,1923.07,3
204,Local,20,32,100,libaio,1886.79,4
205,Local,20,32,100,libaio,1960.78,5
206,Local,20,32,100,libaio,1960.78,6
207,Local,20,32,100,libaio,2000.0,7
208,Local,20,32,100,libaio,1923.07,8
209,Local,20,32,100,libaio,1960.78,9
210,Local,21,1,1024,libaio,94.97,0
211,Local,21,1,1024,libaio,94.81,1
212,Local,21,1,1024,libaio,94.77,2
213,Local,21,1,1024,libaio,94.16,3
